slot_number,block_number,timestamp,builder,relays,value,parent_hash,block_hash,builder_pubkey,proposer_pubkey,proposer_fee_recipient,gas_limit,gas_used
10495509,21284025,2024-11-28 05:02:11.000000 +00:00,Titan,{BLOXROUTE_REGULATED},0.101299581226432,0x3F065A5DBAA6351CB2A5EB75584718DF15786F7A501F7A99A07A906F20F2E2C8,0x2469D94148527D1D64EDAB2CEA6DCE9B2CC6C232D7CD81A8AB29A9E514DC68D3,0x946FCF348BBF1044A3EAA3D27F1D01397CFC4D27495A949447C95EA7EC41DB9F5C4FE3B867A937623685A0462996DF09,0x8583157221B83659621F35B1A2B5BBF7034D8B48A80F5D438A393217CE27A1549F74E3C210C60E580C38C71BBAFEE292,0x067846F9276A59CBE290396BC8F2469BD71B1428,30000000,24521194
10495511,21284026,2024-11-28 05:02:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0867080000480648,0x0279E11C190D0A88D4620F63BE9141BF9BE70B54D104CA4632D8E8C92830D928,0x3DF00BA663A8DD4E893C8C1CDFC73C4CCA01786EA7BDCFEEEA4070514890A3B2,0xB4A435CF816291596FE2E405651EC8B6C80B9CC34DACE3C83202CA489A833756C9A0672EBDC17F23D9D43163DB1CAA5D,0x936D90CBE6FCE803D75B916B86DAD906D7639C3D43A94FFD7B1E7CEBF47E0E1D51CC58D248C31D1E8712F8FD28569A4F,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,26349034
10495516,21284030,2024-11-28 05:03:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,TITAN}",0.0767965525852084,0x1E0960E64C4633E7E4EB979766E4B5CF434D088599BD307CE575B938481DF4AF,0xFF670B5B94EF8B9095C468803458A95D714BE6019D236B33B16F821663E219C5,0x88857150299287CEDFBADEA1EE3FB7AC121F1E4E16BEF44B4A7BAD35432973C4009EFB90394FACCA3FDC0759BA70F93F,0x97EDD8B93B59D395797F75CA27A2BA26CF6059B8DF8C1FFF949F27B276364B6A54DD5FE36AF8554EAA77C4647F1A456C,0x2194331AF2CF9DE9ADB36CF09654FAD65CAFB58B,30000000,13706895
10495523,21284035,2024-11-28 05:04:59.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0193693992876967,0xB346A3DD73CA4B0B4B3A30C1E464D6AB0DEB9FA5A89E4A87683416D718D409AB,0x4B7CE8FCFEEC80B8FAFCA9FC29032FB0ED5B0D10FAFC2176F0B6A3AC0B9570DC,0xA9D0A0F9059972D775A45D8377768FF20234DE91A6FBACBA5737FF8803807C38021B5863E5084869E695EF1D6C2FDAEF,0xAF3DFC03F85689AC4CBE1D593CADF08770C36AE16D46D0F8BFD8CBC4E18607917C6A751E2CE13C5A3575B3AE2F2DDDB2,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,14044693
10495525,21284036,2024-11-28 05:05:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.100741994065755,0x301A50750DC93F6C3ED2A4FD4E2B5C31CB4448EA75CBB34F73DB84C217105904,0x5C7B2430118E324C548669A979187DD576BB3078CE69C23370DBDE4F7DA059AE,0xB67EAA5EFCFA1D17319C344E1E5167811AFBFE7922A2CF01C9A361F465597A5DC3A5472BD98843BAC88D2541A78EAB08,0xB480A857244D5A47DB80D668B7EC36CF3ECE8BA22CC42CFD58C48BB7827EF45E6CB28F262A15AD655D5D58C1F84B5E0B,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,19436746
10495530,21284040,2024-11-28 05:06:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.176272357850512,0x431B89C62F51EF88FE9C04B31F377D4BD4F0C78251FC8910B7FFDD5BE31BB347,0xEFD57E1204E015655E4370883CC2C1E79BF297D5DF43D799749BCA9C29D1D5DD,0x95C8CC31F8D4E54EDDB0603B8F12D59D466F656F374BDE2073E321BDD16082D420E3EEF4D62467A7EA6B83818381F742,0xA3CFDA32428D875A55AE5D6869424390E2EFB38EF4810C667C3439BC8FE5E64C7952D8FC2C336064C8F1946A1B78CCB7,0xA8C62111E4652B07110A0FC81816303C42632F64,30000000,14834718
10495540,21284049,2024-11-28 05:08:23.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.198388441146111,0xF09C3E1207E77168130774840A217E6BAF1D7B5D03AD00FB7E56CEA0B7BC2B08,0x9C811486AC2D2E7382D26F1E5321B516D7B3439B1B328D531A21F0AD92A93A7D,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xA1137BD707B431657E96AF2A68723A9F17951E8DEBAA64E12BE9A4880D93558A0B7889EB7E334124C28BC19036A60D2D,0x6BE457E04092B28865E0CBA84E3B2CFA0F871E67,30000000,29999629
10495546,21284054,2024-11-28 05:09:35.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0456230890693693,0x5DB20A0409292070C3557B6631BEA884618746A603EFA5819693854AF76F9594,0x7698ED17D8024FF6A561814C0E9348B1886E626720E61A2783656572E0580C8D,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0xAB5D561354E85AC681576FD6F54C30B2145E6A3016D6F134654D876D57D75AFDD18F278A675B5B24F510254970F8F224,0xE688B84B23F322A994A53DBF8E15FA82CDB71127,30000000,19046903
10495563,21284070,2024-11-28 05:12:59.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED}",0.0280787508486803,0x4CEB45691AD9728F12B8C77542DC188DC4FCF10367813B5B3926B90D33E54B89,0x3AB90F99A7C18217413FDB37D37E97A94AB6344F22309E199B86FB59BBC8D43E,0xA9D0A0F9059972D775A45D8377768FF20234DE91A6FBACBA5737FF8803807C38021B5863E5084869E695EF1D6C2FDAEF,0x90421EC6B15F977BEF3D12E4C51BBF8163CE0FBC3D5EF5DD91D29B0B5BC7622C79E215BE2B6151F30BDD60B948DE0D18,0x388C818CA8B9251B393131C08A736A67CCB19297,30000000,11980845
10495583,21284089,2024-11-28 05:16:59.000000 +00:00,Titan,"{BLOXROUTE_MAXPROFIT,BLOXROUTE_REGULATED,TITAN}",0.031800926705048,0x50075CD1EC1507DE2235FDCAE08B6FFEE347D53128AF9C87F7496A87AF322F41,0x3A80ABC761B1F928CFC2A6BAC0DF38382191409BD82932A5BF4335B4DF075F1B,0xB26F96664274E15FB6FCDA862302E47DE7E0E2A6687F8349327A9846043E42596EC44AF676126E2CACBDD181F548E681,0x830391864B832F6D68722A4C4F7FEDFC42B155AEAF1902293B8BA957EEB67F7CA9C84F2D67C20D7A1CE3D0387C599E81,0x2BF916F8169ED2A77324D3E168284FC252AE4087,30000000,15200293
